#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Speed (ns/day)"	"Time Remaining"
16.6%	37250	148.99999999998528	-2957240.234018944	567382.7571963228	-2389857.476822621	300.8334600844522	2292.2312188960814	31.7	34:05
16.7%	37500	149.99999999998295	-2955169.253972264	565641.6332974202	-2389527.620674844	299.91029433734553	2292.2312188960814	31.7	34:03
16.8%	37750	150.99999999998062	-2956037.8359358683	567099.623258782	-2388938.2126770862	300.683338916656	2292.923316305969	31.7	34:00
16.9%	38000	151.9999999999783	-2955296.611103546	565993.1003739261	-2389303.51072962	300.0966465931904	2293.7063396201083	31.7	33:58
17.0%	38250	152.99999999997596	-2954798.8707591835	565995.3577029345	-2388803.513056249	300.0978434573664	2294.5637211243793	31.7	33:55
17.1%	38500	153.99999999997362	-2955013.9267273266	566711.9011771503	-2388302.0255501764	300.4777638019931	2293.5510470276627	31.7	33:52
17.2%	38750	154.9999999999713	-2956809.196364902	566955.0534092602	-2389854.1429556417	300.6066861676891	2292.5017799477378	31.7	33:50
17.3%	39000	155.99999999996896	-2955961.6480850484	566375.1775671827	-2389586.470517866	300.299228717178	2294.2936619633538	31.7	33:47
17.4%	39250	156.99999999996663	-2956530.3966460377	568116.7234083933	-2388413.673237644	301.2226181833929	2294.2936619633538	31.7	33:45
17.6%	39500	157.9999999999643	-2957072.991324533	568136.5003457919	-2388936.490978741	301.2331041638568	2294.8707814628056	31.7	33:42
17.7%	39750	158.99999999996197	-2955968.338666396	567187.9129567647	-2388780.4257096313	300.7301512228057	2293.600160936541	31.7	33:39
17.8%	40000	159.99999999995964	-2956018.00188216	567146.3435152454	-2388871.658366915	300.70811058310096	2293.872117516429	31.7	33:37
17.9%	40250	160.9999999999573	-2955654.733510282	566883.0396539541	-2388771.693856328	300.5685035706545	2292.272032262394	31.7	33:34
18.0%	40500	161.99999999995498	-2955863.354982851	567499.3543359988	-2388364.0006468524	300.8952813515242	2291.670526323851	31.7	33:32
18.1%	40750	162.99999999995265	-2955223.1799784247	567070.7306385405	-2388152.4493398843	300.66801968672183	2292.2762317846727	31.7	33:29
18.2%	41000	163.99999999995032	-2958094.2435960528	569600.5185531167	-2388493.725042936	302.009344994848	2291.3075845600792	31.7	33:26
18.3%	41250	164.999999999948	-2954394.818592077	567256.6321234639	-2387138.1864686133	300.7665869876048	2294.331149200625	31.7	33:24
18.4%	41500	165.99999999994566	-2955732.797777768	568331.9990273654	-2387400.798750403	301.3367600188748	2293.848414493375	31.7	33:21
18.6%	41750	166.99999999994333	-2954418.3175117746	567237.3118368142	-2387181.0056749606	300.75634312910023	2294.9403499344407	31.7	33:19
18.7%	42000	167.999999999941	-2955639.673410505	567616.7671572141	-2388022.906253291	300.9575351031874	2295.765055223708	31.7	33:16
18.8%	42250	168.99999999993867	-2954932.152592834	567311.7613752228	-2387620.3912176113	300.79581720891156	2296.315101119895	31.7	33:13
18.9%	42500	169.99999999993634	-2954627.2727650814	567204.9923718576	-2387422.2803932237	300.73920694308174	2299.6094345524693	31.7	33:11
19.0%	42750	170.999999999934	-2953396.956558604	566092.992311806	-2387303.964246798	300.14961055257373	2297.127763992353	31.7	33:08
19.1%	43000	171.99999999993167	-2953530.1315521467	565791.9384266639	-2387738.1931254826	299.98998800361454	2296.391304425183	31.7	33:05
19.2%	43250	172.99999999992934	-2955501.953993272	568033.4920000377	-2387468.461993234	301.178487845899	2296.960161434553	31.7	33:03
19.3%	43500	173.999999999927	-2955632.535513427	568008.1969441164	-2387624.3385693105	301.1650760897267	2297.154789932748	31.7	33:00
